geonameid,name,asciiname,lat,lon,feature_class,feature_code,country,admin1,admin2,population,timezone
451747,Zyabrikovo,Zyabrikovo,56.84665,34.7048,P,PPL,RU,77,,0,Europe/Moscow
451748,Znamenka,Znamenka,56.74087,34.02323,P,PPL,RU,77,,0,Europe/Moscow
451749,Zhukovo,Zhukovo,57.26429,34.20956,P,PPL,RU,77,,0,Europe/Moscow
451750,Zhitovo,Zhitovo,57.29693,34.41848,P,PPL,RU,77,,0,Europe/Moscow
451751,Zhitnikovo,Zhitnikovo,57.20064,34.57831,P,PPL,RU,77,,0,Europe/Moscow
451752,Zhelezovo,Zhelezovo,57.02591,34.51886,P,PPL,RU,77,,0,Europe/Moscow
451753,Zelëntsyno,Zelentsyno,56.73452,34.92011,P,PPL,RU,77,,0,Europe/Moscow
451754,Zelënaya Niva,Zelenaya Niva,57.1711,34.76977,P,PPL,RU,77,,0,Europe/Moscow
451755,Zasten’ye,Zasten'ye,57.27055,34.73,P,PPL,RU,77,,0,Europe/Moscow
451756,Zarech’ye,Zarech'ye,56.68265,34.70984,P,PPL,RU,77,,0,Europe/Moscow
451757,Zamush’ye,Zamush'ye,57.22984,34.77983,P,PPL,RU,77,,0,Europe/Moscow
451758,Zaleden’ye,Zaleden'ye,57.12851,34.26788,P,PPLQ,RU,77,,0,Europe/Moscow
451760,Zador’ye,Zador'ye,56.85239,34.49864,P,PPL,RU,77,,0,Europe/Moscow
451761,Zabolot’ye,Zabolot'ye,56.74771,34.84792,P,PPL,RU,77,,0,Europe/Moscow
451762,Yeskino,Yeskino,57.07916,34.78913,P,PPL,RU,77,,0,Europe/Moscow
451763,Yereshkino,Yereshkino,57.22681,34.58422,P,PPL,RU,77,,0,Europe/Moscow
451764,Yeremeyki,Yeremeyki,56.81639,34.92389,P,PPL,RU,77,,0,Europe/Moscow
451765,Yelizavetino,Yelizavetino,56.7813,34.49321,P,PPL,RU,77,,0,Europe/Moscow
451767,Yegor’ye,Yegor'ye,57.02174,34.29403,P,PPL,RU,77,,0,Europe/Moscow
451768,Yefremovo,Yefremovo,57.06001,34.74787,P,PPL,RU,77,,0,Europe/Moscow
451769,Yavidovo,Yavidovo,56.87068,34.51994,P,PPL,RU,77,,0,Europe/Moscow
